Prime#,Prime Reciprocal,Pattern Length
6091,0.00016417665407978985,2030
6101,0.00016390755613833797,1220
6113,0.0001635858007524947,6112
6121,0.00016337199803953602,3060
6131,0.00016310552927744252,6130
6133,0.00016305233980107615,1533
6143,0.00016278691193228064,6142
6151,0.00016257519102584944,1025
6163,0.00016225864027259452,79
6173,0.00016199578810950914,3086
6197,0.00016136840406648378,3098
6199,0.00016131634134537829,3099
6203,0.00016121231662098983,443
6211,0.00016100466913540493,6210
6217,0.00016084928422068523,6216
6221,0.00016074586079408456,6220
6229,0.00016053941242575052,2076
6247,0.00016007683688170322,6246
6257,0.000159821000479463,6256
6263,0.0001596678907871627,6262
6269,0.0001595150741745095,6268
6271,0.00015946420028703555,1045
6277,0.00015931177314003505,1569
6287,0.0001590583744234134,6286
6299,0.00015875535799333228,94
6301,0.00015870496746548166,6300
6311,0.00015845349389954048,3155
6317,0.00015830299192654741,3158
6323,0.00015815277558121145,3161
6329,0.00015800284405119292,3164
6337,0.00015780337699226762,6336
6343,0.00015765410688948448,6342
6353,0.00015740594994490792,6352
6359,0.00015725743041358704,3179
6361,0.00015720798616569723,1590
6367,0.00015705983979896342,6366
6373,0.00015691197238349287,1062
6379,0.00015676438313215238,2126
6389,0.00015651901706057285,6388
6397,0.0001563232765358762,78
6421,0.0001557389814670612,2140
6427,0.00015559358954411078,1071
6449,0.00015506280043417584,1612
6451,0.0001550147263990079,2150
6469,0.0001545833977430824,924
6473,0.0001544878727019929,6472
6481,0.00015429717636167257,270
6491,0.00015405946695424435,1298
6521,0.00015335071308081582,815
6529,0.00015316281206922958,1088
6547,0.0001527417137620284,1091
6551,0.00015264845061822624,3275
6553,0.00015260186174271325,6552
6563,0.00015236934328813042,3281
6569,0.00015223017202009437,1642
6571,0.00015218383807639628,6570
6577,0.0001520450053215752,2192
6581,0.000151952590791673,1316
6599,0.00015153811183512653,3299
6607,0.00015135462388375965,2202
6619,0.00015108022359873092,6618
6637,0.00015067048365225252,474
6653,0.00015030813166992335,3326
6659,0.0001501726986033939,6658
6661,0.00015012760846719713,6660
6673,0.0001498576352465158,6672
6679,0.00014972301242701004,3339
6689,0.00014949917775452235,1672
6691,0.00014945449110745777,6690
6701,0.00014923145799134458,6700
6703,0.0001491869312248247,6702
6709,0.00014905351021016544,6708
6719,0.0001488316713796696,3359
6733,0.0001485222040695084,3366
6737,0.00014843402107763098,6736
6761,0.00014790711433219938,1690
6763,0.0001478633742422002,161
6779,0.0001475143826523086,6778
6781,0.0001474708745022858,1356
6791,0.00014725371815638345,679
6793,0.00014721036360959813,6792
6803,0.00014699397324709687,3401
6823,0.0001465630954125751,6822
